protocol_type,src_ip,dst_ip,src_port,dst_port,flag,src_bytes,dst_bytes,duration,count
tcp,172.17.10.229,172.16.64.80,57918,8009,RST,225,171,0.0635678768157959,3
tcp,172.17.10.229,172.16.64.35,58091,8009,RST,279,256,0.12670588493347168,5
tcp,172.17.10.229,148.113.9.222,58018,443,RST,55,66,0.019715070724487305,2
tcp,172.17.10.229,52.187.79.109,58058,443,RST,55,66,0.043779850006103516,2
tcp,172.17.8.82,172.17.10.229,64667,7680,OTH,66,0,0.0,1
tcp,172.17.10.229,142.251.12.188,57999,5228,RST,55,66,0.06025290489196777,2
tcp,172.17.10.229,172.16.64.35,58092,8009,RST,279,256,0.09499502182006836,5
